Planet Insolation (Earth Flux),Planet Equil Temp (K),Time Series Observations,Stellar Mass (M_Sun),Stellar log(g) (cm/s^2),Planet Radius (R_Earth),Stellar Eff Temp (K),Stellar Distance (pc),Depth (mmag),Depth (ppm),Period (days),Spectroscopy Observations,TFOPWG Disposition
-0.23371360433665447,-0.2243936106380636,1.3663170056094747,0.06473697551038565,0.10335245835181033,-0.25387247243755773,-0.01576950303117713,-0.03287003466156279,-0.1630491247037853,-0.18960074259770301,-0.08477067166825947,-0.18074328843095053,True
-0.21413292659044833,-0.14911660248211303,0.20513152530357687,-0.006053971996657158,-0.8966354280109393,0.26874027426173425,0.09194956749781583,-0.12501919817441573,-0.08063023073241515,-0.08612387478802613,-0.0656587746353054,-0.18074328843095053,True
-0.2014362764665817,0.10479392781925445,-0.12663575478382252,-0.5487845695506558,1.3291440609900207,-0.563647960127046,-0.512005577051753,-0.4355098607834205,-0.25308185523468785,-0.3029081576435488,-0.14786351738774542,-0.29527578511164654,False
-0.24193857964233553,-0.35678425110459366,-0.12663575478382252,0.37149774804090674,-0.2514819529381962,-0.19727202849053213,0.3245742032012945,-0.0616254474763551,-0.18265266646230574,-0.2142479456470217,-0.04345840255425788,-0.29527578511164654,False
-0.25573461290826716,-0.7479926301408267,-0.2925193948275222,0.15912490551977676,-2.315973073170974,0.4620242454108109,0.04582076030805724,-0.02119010084929632,-0.20779952053864098,-0.24588429498376435,-0.04849904476902526,-0.29527578511164654,False
-0.242805469629394,-0.37228946124932244,-0.2925193948275222,0.25351283552916787,0.9420519759463749,0.008719124832288313,-0.009636032823120921,-0.2845564404257152,-0.17785177002846206,-0.20821062685438457,0.09441654570727456,-0.4098082817923426,False
-0.19338633737649782,0.004548341581558254,0.8686660854783755,-0.2420237970201349,0.13561013210544676,0.23265920804875553,-0.12840812778954924,-0.09468917344538451,0.13774410190972053,0.18690104650725628,-0.13847036065636845,-0.29527578511164654,True
-0.2114944946604885,0.021304334732253502,0.03924788525987717,0.11193094051508119,-0.7353470592427542,0.22606029928820057,0.0952079735458461,0.28909748681045133,-0.21429055905737637,-0.25405403417244754,-0.1302082429754104,-0.4098082817923426,False
-0.21580228059760947,-0.01805504486590409,-0.12663575478382252,0.041139993008038396,-0.05793591041637472,-0.2079360326656153,0.06134610677220052,-0.11629166170134728,-0.19902635467849625,-0.23484454852300807,-0.08977078649434042,-0.18074328843095053,False
-0.1683582457624079,0.14815109041373478,0.20513152530357687,0.7254524855761229,-0.5418010167209327,0.32834567928897784,0.5315788227232033,-0.007154497625648503,-0.052693752946447354,-0.05110344502395667,-0.0970441546875291,-0.4098082817923426,True
-0.23163220023754116,-0.195768607293949,-0.2925193948275222,0.11193094051508119,-0.12245125792365046,-0.14323767627794468,0.0555959784521475,-0.08774088595080631,-0.1775160997490167,-0.20778850021148912,-0.037452243550927355,-0.4098082817923426,False
-0.23307366838054266,-0.21604465132936349,-0.2925193948275222,0.0,-1.1224391442864001,0.2212953937661826,0.12715313087947402,-0.32177695439453613,-0.04592950829696262,-0.042628046931520225,-0.0289865661024967,-0.06621079175025447,False
-0.1694187972117604,0.14270164366118118,0.5368988053909762,-0.12403888450839604,-0.2514819529381962,0.03933338266030676,-0.01404446453516134,-0.013213941688478784,-0.12425488085455763,-0.1408650692211225,-0.13517215483251832,-0.29527578511164654,True
