,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,Pipeline Signal ID,Source,Detection,Period (days),Duration (hours),Depth (mmag),Depth (ppm),Planet Radius (R_Earth),Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Eff Temp (K),Stellar log(g) (cm/s^2),Stellar Radius (R_Sun),Stellar Mass (M_Sun)
4429,5,5,5,5,5,5,5,1.2,28.3,11.49,0,0,1,PC,False,8.22109,1,spoc,SPOC,73.5809819958847,2.14415975281033,0.377299,347.445036481946,3.39910251718171,57.7754893554836,703.16242904375,7.4124866,158.797,7802.0,4.21386,1.76118004322052,1.851
4431,5,5,5,5,5,5,5,7.5,57.6,76.73,0,0,5,KP,True,12.7462,1,qlp-s71-ffi,SPOC,20.2730282,3.651,18.817245,17182.0,10.4386,20.4393,592.0,201.0,413.591,5742.0,4.58473,0.86,1.026
4436,5,5,5,5,5,5,5,0.9,31.3,5.43,6,1,3,O,False,8.6022,2,spoc-s01-s36-b02-L1,SPOC,46.4093732462209,4.82233701122434,0.473196,435.734750459407,2.18629967494351,17.1730953263344,519.196665682136,7.139741,79.208,5871.0,4.43296,1.03562998771667,1.06
4439,5,5,5,5,5,5,5,0.9,37.8,8.53,3,0,1,IS,False,12.531,1,spoc-s01-s36-b02-L1,SPOC,14.676265843378,3.23204554927842,3.806675,3499.93797342749,2.8523347853539,3.13982496587714,339.504948795957,9.150719,70.7878,3414.0,4.77364,0.458860993385315,0.455971
4440,5,5,5,5,5,5,5,0.9,47.7,15.85,3,0,1,IS,False,12.531,2,spoc-s01-s36-b02-L1,SPOC,21.9692577844538,3.56623066157515,8.655825,7940.61523893446,4.10617392108669,1.83360458011039,296.787886330734,9.256836,70.7878,3414.0,4.77364,0.458860993385315,0.455971
4446,3,5,5,3,4,4,4,54.4,59.3,317.0,2,2,0,CP,True,11.8832,1,spoc-s14-s60-b0A-CP,CTOI,2.92246609239435,5.55602552825818,6.232628,5724.01767303931,20.8842189081747,3990.57163411999,2027.11565375393,66.027565,717.128,5520.0,3.55,2.7442901134491,0.97
4452,5,5,5,5,5,5,5,34.8,133.8,130.71,0,0,0,EB,False,11.5124,1,qlp-s38-tois,SPOC,4.5006638,4.588,2.293324,2110.0,14.2378,25501.0,3520.0,12.0,636.157,8933.0,4.45175,1.48,2.25
4453,1,4,4,1,4,4,4,0.9,84.1,4.86,12,2,9,PC,True,11.0196,1,spoc-s01-s65-b0A-PC,SPOC,16.3363665240382,1.99339218064944,4.22595,3884.67853750506,2.0492402684364,1.69329870709197,290.939805229799,13.60391,22.5455,3365.0,4.89744,0.326568007469177,0.30713
4454,5,5,5,5,5,5,5,15.0,121.5,8.35,2,0,3,PC,False,11.1567,1,spoc-s01-s39-b0A-PC,SPOC,2.28617920624135,4.79327241015566,2.273419,2091.70557299153,2.81729218264641,99.4164306416886,805.349310518174,10.605815,65.1329,3953.0,4.6489,0.617703020572662,0.62
4456,5,5,5,5,5,5,5,107.1,263.4,76.29,2,0,2,PC,False,14.0644,1,spoc,SPOC,1.25408055209495,1.34355168935015,74.161987,66025.0994260211,10.3493319111719,73.5478382884674,746.89960144404,38.572582,123.032,3455.0,4.82691,0.399724006652832,0.391168
4458,5,5,5,5,5,5,5,0.0,8.7,2.19,0,1,0,PC,False,13.7827,1,spoc,SPOC,18.4043334143754,7.87933095348761,9.964011,9135.21101619144,1.28344327393838,0.263869342647955,182.796124260207,7.571882,23.7607,2891.0,5.22041,0.133376002311707,0.10777
4459,1,4,4,1,4,4,4,3.6,49.0,5.79,10,6,2,PC,True,11.0318,1,spoc,SPOC,5.53832899923516,2.22638882354132,1.528828,1407.11186478991,2.27214086268217,27.6818339104765,585.01697007936,8.499877,61.5204,3883.0,4.65275,0.59817498922348,0.586597
4460,1,4,4,1,4,4,4,2.1,43.7,6.65,10,6,2,PC,True,11.0318,2,spoc,SPOC,10.6886083506691,2.66722448779472,1.631102,1501.17263406582,2.46422452476959,11.5205083015932,469.880757130345,8.190688,61.5204,3883.0,4.65275,0.59817498922348,0.586597
4464,5,5,5,5,5,5,5,1.2,16.4,3.1,0,0,0,PC,False,12.4375,1,spoc,SPOC,3.90771159427544,9.52783635353654,0.651237,599.631909867529,1.57227991698766,50.3800694701178,679.492144160818,10.342199,130.457,3917.0,4.61771,0.640110015869141,0.61966
4475,5,5,5,5,5,5,5,1.3,2.6,2.3,0,0,0,EB,False,10.5385,1,spoc,SPOC,1.81412152094214,4.60061540235987,0.140508,129.404120127498,1.31804644309185,1468.56742840869,1578.85854708584,7.3588576,189.148,5789.58,4.35115,1.12713003158569,1.04
